epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1263.91,0.67188,0.87493,1.18058,0.80497,0.93844,0.94986,0.64238,1.05886,1.43346,1.64435,0.000731563,0.000731563,0.000731563
43,1301.89,0.66628,0.92432,1.20248,0.91084,0.92918,0.9578,0.67397,1.03902,1.37896,1.64937,0.000700625,0.000700625,0.000700625
44,1337.68,0.60691,0.78446,1.11137,0.89521,0.95455,0.96586,0.6788,1.00053,1.3725,1.58753,0.000669688,0.000669688,0.000669688
45,1369.49,0.62845,0.74153,1.14168,0.97486,0.81818,0.96128,0.62923,1.03821,1.38463,1.60396,0.00063875,0.00063875,0.00063875
46,1401.14,0.59528,0.75276,1.11986,0.93112,0.86364,0.958,0.61781,1.0678,1.5282,1.65801,0.000607812,0.000607812,0.000607812
47,1433.47,0.62127,0.72541,1.15933,0.90423,0.85855,0.95178,0.61158,1.08162,1.59133,1.64326,0.000576875,0.000576875,0.000576875
48,1465.5,0.60606,0.81399,1.16874,0.78958,0.95455,0.93237,0.6179,0.96427,1.55001,1.58197,0.000545937,0.000545937,0.000545937
49,1497.93,0.52483,0.70568,1.0502,0.81128,0.97747,0.93179,0.65078,0.95059,1.45972,1.5752,0.000515,0.000515,0.000515
50,1530.56,0.60108,0.72353,1.09388,0.76074,0.95455,0.92481,0.6868,0.93962,1.29688,1.58398,0.000484063,0.000484063,0.000484063
51,1563.04,0.61555,0.73263,1.14317,0.79941,0.9059,0.92863,0.70468,0.86677,1.2354,1.53093,0.000453125,0.000453125,0.000453125
52,1595.99,0.55781,0.67519,1.07527,0.8676,0.89402,0.9421,0.74216,0.88491,1.18897,1.55581,0.000422187,0.000422187,0.000422187
53,1627.72,0.54265,0.7217,1.09854,0.90648,0.90909,0.94357,0.75117,0.85931,1.13692,1.52588,0.00039125,0.00039125,0.00039125
54,1659.48,0.56472,0.71239,1.11385,0.94621,0.90909,0.93998,0.75564,0.84198,1.13657,1.49062,0.000360313,0.000360313,0.000360313
55,1691.62,0.43701,1.02261,1.03891,0.94919,0.90909,0.93908,0.74295,0.84995,1.13496,1.46294,0.000329375,0.000329375,0.000329375
56,1723.25,0.41101,0.88078,0.98257,0.95166,0.89538,0.93211,0.73972,0.87559,1.11824,1.47493,0.000298438,0.000298438,0.000298438
57,1756.69,0.39664,0.83719,1.01435,0.98597,0.86364,0.92088,0.73523,0.85867,1.13504,1.44953,0.0002675,0.0002675,0.0002675
58,1788.39,0.3605,0.81946,1.00026,0.95094,0.88164,0.92248,0.72616,0.89965,1.19208,1.46666,0.000236562,0.000236562,0.000236562
59,1819.72,0.37334,0.88139,1.00554,0.94421,0.90909,0.92217,0.70537,0.9498,1.2009,1.52278,0.000205625,0.000205625,0.000205625
60,1851.9,0.34044,0.77182,0.93165,0.94245,0.90909,0.92118,0.6995,0.973,1.24272,1.54512,0.000174688,0.000174688,0.000174688
61,1884.26,0.3188,0.77595,0.97359,0.94162,0.90909,0.92195,0.69801,0.96592,1.24565,1.53509,0.00014375,0.00014375,0.00014375
62,1915.89,0.3621,0.83734,0.96524,0.99689,0.90909,0.92662,0.69454,0.95695,1.22097,1.52666,0.000112812,0.000112812,0.000112812
63,1947.41,0.34869,0.77306,0.96615,0.99429,0.90909,0.92668,0.7155,0.94498,1.18339,1.51997,8.1875e-05,8.1875e-05,8.1875e-05
64,1978.97,0.3667,0.82191,1.00911,0.99168,0.90909,0.9282,0.71648,0.92778,1.15178,1.49685,5.09375e-05,5.09375e-05,5.09375e-05
